"
                            تعمیر کفش
                            
",,22734103,,منطقه 1,"
                           م. تجریش- خ. دربندی کوچه برادران توکلی  پلاک: 5 
                        ",,
"
                            نمایندگی انحصاری ایران مستربچ بنیانگذار تولید مستربچ در ایران، مرکز پخش انواع رنگهای صنایع پلاستیک جهت مصارف لوازم خانگی، فیلم، بطری PET ، فود گرید(بهداشتی) و...، خرید و فروش مواد پلاستیک و صنعتی
                            
",داریوش شیرازی فرید,55633311-55608995,,منطقه 12,"
                           15 خرداد، چهارراه سیروس  کوچه سرپولک  پلاک: 127 
                        ",,
"
                            فروش لباس زیر زنانه ایرانی و خارجی
                            
",علی شهماری,55637622,9363149074,منطقه 12,"
                           خ خیام شمالی، بازار آل یاسین، بازار عباس آباد، روبروی بانک صادرات، سرای عباسی  پلاک: 4 
                        ",,
"
                            دفتر پیشخوان خدمات دولت
                            
",,22563283-22563160,,منطقه 1,"
                           پاسداران - اختیاریه جنوبی   پلاک: 134 طبقه همکف 
                        ",,
"
                            تعمیرات تخصصی گیربکسهای اتوماتیک، خدمات تخصصی بنز، بی ام و، لکسوس، پورشه و....، تعویض روغن ، تعویض لاستیک، بالانس، باد نیتروژن
                            
",رضا قربانی,44703060 -09203179240,9124714310,منطقه 22,"
                           شهرک راه آهن، بلوار امیرکبیر، نبش کوچه گل افروز  پلاک: 526 
                        ",,
"
                            ارائه دهنده خدمات آسانسورنصب و فروش، سرویس و نگهداری، تعمیر و بازسازی انواع آسانسور.
                            
",محمدرضا جیرانی,44515791,9125303895,منطقه 21,"
                           تهرانسر، بلوار لاله، نبش خیابان قباد شمالی،  پاساژ لاله  پلاک: 15 
                        ",,دارد
"
                            ژئوفیزیک، ژئوتکنیک، اکتشاف نفت و گاز و معادن
                            
",عباس صمدیان و پرشین موسوی,88824053,9123100034,منطقه 6,"
                           خ سمیه، بین بهار و خاقانی  پلاک: 62 طبقه سوم 
                        ",,دارد
"
                            تولیدو پخش لوازم و تجهیزات دام و طیور
                            
",امیر سرافراز,66437294-66437132-66594585-09123838132,,منطقه 6,"
                           خ آزادی - خ توحید - خ فرصت  پلاک: 182 
                        ",,
"
                            تولید انواع لبی قلیان، قلیان و لوازم جانبی قلیان
                            
",شهاب بشیری,-,09125830571،09393740905,منطقه 12,"
                           مولوی بازار حضرتی پاساژ کارآمد طبقه زیر همکف  پلاک: 05 
                        ",,
"
                            آرایشگاه مردانه
                            
",حجت واقف,55738089,9198154584,منطقه 10,"
                           میدان بریانک، خ امیرقلی (نیکو)، تقاطع خوش  پلاک: 18 
                        ",,
"
                            آموزشگاه زبان انگلیسیبرگزاری دوره مکالمه فشرده 6 ماهه بدون کتاب(I.C.C) با استاد اصلانی.برگزاری دوره های 6 ماهه از مبتدی تا IELTSبرگزاری دوره 504 لغت در ششصد دقیقه برگزاری دوره TTC به صورت رایگان برگزاری کلاسهای خصوصی زبان انگلیسی و سایر زبانها

",منا خانم داراب,44030869-44044487,,منطقه 5,"
                           آیت اله کاشانی - بین رامین و وفاآذر شمالی  پلاک: 322 طبقه 2 
                        ",,
"
                            عرضه و تولید انواع کیف و کفش چرم ایرانی 
                            
",مهدی  میرجبرئیلی,شعبه1 : 33110547 ،شعبه2 : 44244517 ، شعبه3 : 66231364 ,9122082584,منطقه 18,"
                           شعبه1 : سپه سالار-پاساژ مبصر-ط همکف -پ5 ، شعبه 2 : فلکه دوم صادقیه -پاساژ افق - ط زیرهمکف- پ 12 ، شعبه 3 : شهرک ولیعصر - خ بهرامی -خ شریعتی - روبروی عطاری ولیعصر -پ 68 
                        ",,
"
                            تولید پرچم 
                            
",اکبر کاظمی,77433308,,منطقه 14,"
                           خ پیروزی - روبروی خ پنجم نیرو هوایی  پاساژ نسیم طبقه سوم واحد 16 
                        ",,
"
                            کیف و کفش زنانه 
                            
",جعفر  آهنین جان,فروشگاه:   55354202    کارخانه:33940853-33910674،تلفکس:33971040,,منطقه 12,"
                           فروشگاه :نازی آباد -خ مدائن -جنب پاساژ کویتیها -پ175 ، کارخانه: بهارستان -خ جمهوری -باغ سپهسالار -کوچه امید آزادی خواه -کوچه مراغه ای -بن بست بهشت -پ3  
                        ",دارد,
"
                            گلدوزی
                            
",حسین محمدی,55781399,,منطقه 17,"
                           خزانه-فلاح-20 متری ابوذر- خ شهید فتحی-   پلاک: 99 
                        ",,
"
                            پمپ
                            
",علی ایلخانی,33995339,,منطقه 12,"
                           جمهوری شرقی - نرسیده به مخبرالدوله کوچه درختی  پلاک: 39 
                        ",,
"
                            کافی شاپ
                            
",محمد متقی,77888842,9126769289,منطقه 4,"
                           فلکه دوم تهرانپارس، ط پنجم مجتمع تجاری پارسیان، واحد 560 
                        ",دارد,
"
                            تولید کننده انواع سنگهای ساختمانی 
                            
",طهرانی,33881719,,منطقه 16,"
                           خ فدائیان اسلام، بازاربزرگ سنگ فاطمیه   پلاک: 223 
                        ",,
"
                            دفتر ازدواج
                            
",ناصر محمدی,44051099-09124939711,,منطقه 5,"
                           فلکه دوم صادقیه - آیت اله کاشانی - پشت بیمارستان ابن سینا  پاساژ سبحان طبقه اول  پلاک: 18-واحد5 
                        ",,
"
                            عکسبرداری پرتره و مجالس - تبلیغات صنعتی  هنری- فیلمبرداری
                            
",کاوس گودرزی,88795549-88793296,,منطقه 1,"
                           ولیعصر- بالاتر از توانیر  پلاک: 1246 و  2498 و 3261 
                        ",,
"
                            تهیه و پخش ورقهای کلینگریت(سیم دار و معمولی)، نخ نسوز، نخ تفلونی مواد غذایی، لاستیک منجیت دار و ساده، چوب پنبه، بست شیلنگ، پشم سنگ و پشم شیشه، انواع پتوی نسوز، ساخت توری یو وی، دستگاه خشک کن، ساخت انواع واشر صنعتی و غیره
                            
",علی  غفاری,33119645,9121249787,منطقه 12,"
                           خ امیرکبیر کوچه ناظم الاطباء جنوبی، بلوک 2 شرقی  پلاک: 146 
                        ",,دارد
"
                            کاشی و سرامیک 
                            
",رضا زارع یزدی,44074775,,منطقه 5,"
                           فلکه دوم صادقیه - خ آیت اله کاشانی - روبروی بلوار اباذر   پلاک: 184 
                        ",,
"
                            آرایشگاه زنانه - مدل های مختلف کوپ های مدرن 
                            
",مینا ادیب,88423156-88423157,,منطقه 7,"
                           شریعتی - نرسیده به معلم - نبش اندیشه 6  پلاک: 2-واحد3 
                        ",دارد,
"
                            لبنیات ، ارائه خدمات به رستورانها، هتل ها، شرکت ها، نهادها، و ارگان های دولتی و خصوصی
                            
",حمید  مرادی,66402718,9375318780,منطقه 11,"
                           انقلاب، خ دانشگاه ، تقاطع روانمهر  پلاک: 130 
                        ",,
"
                            خم و برش ورق 2میل
                            
",حسین قهرمانی,55534952-55534953-55534954,,منطقه 20,"
                           بزرگراه آزادگان، آهن مکان، فاز 6 غربی  پلاک: 1375 
                        ",,
"
                            سیم و کابل توانا - کم مصرف خزرشید - پارت الکتریک - ایفون سیماران - GIT

",گودرزی,66625450,9128336774,منطقه 18,"
                           بازار آهن شادآباد، مجتمع 17 شهریور، بلوک الف /B  پلاک: 30 
                        ",,
"
                            موادشوینده بهداشتی 
                            
",غلامرضا اکبری,33563109-33569049,9123000244,منطقه 12,"
                           خ مولوی، نرسیده به چهارراه مولوی، روبروی باربری ایران بنز   پلاک:  240 
                        ",,
"
                            تولید و پخش انواع کفش های زنانه -مردانه -دخترانه - پسرانه 
                            
",علی اصغر  حاجی نسب, 55814373-55981040-5598104155981042-55981043-55981044,9121983167,منطقه 12,"
                           میدان محمدیه - خ خیام  کوچه مهدویان احدی - کوچه شهید محمدی خلص  پلاک: 1 
                        ",,
"
                            انواع کاغذ و مقوا، پشت طوسی، پشت سفید، ایندربرد، چسبدار، تحریر، گلاسه، PE و ...
                            
",جمال  حسینی,33116893-33982803-09121155251,9126276676,منطقه 12,"
                           خیابان جمهوری ، خیابان ظهیر الاسلام ، بین سقاخانه و چهارراه خانقاه   پلاک: 225 
                        ",,دارد
"
                            کابل و مبدل ارتباطی ، تجهیزات صوتی و تصویری ، تجهیزات ذخیره سازی اطلاعات ، فن و اداپتور های کامپیوتری ، کارت های جانبی لپ تاپ و کامپیوتر ، سویچ و اسپلیتر و انواع لوازم جانبی کامپیوتر ، لپ تاپ ، تبلت و موبایل
                            
",امیرحسین حسن خانی,66964496-66481978-66485010-66485011,9124355375,منطقه 6,"
                           چهارراه ولیعصر بالاتر از بازار کامپیوتر رضا پاساژ اعتماد طبقه همکف واحد 3
                        ",دارد,دارد
"
                            صحافی و ساخت جلدهای نفیس چرمی - گالینگور و سلفون و ساخت انواع لوح ها ی تقدیر - ساخت جعبه ها ی نفیس و قاب - شومیز و چسب گرم 
                            
",سیدخلیل سیدین,66389775- 33418562,9198261214,منطقه 10,"
                           خ نواب - نبش خ هاشمی  پاساژ سیمرغ  طبقه زیرهمکف  پلاک: 10 
                        ",,
"
                            باشگاه ورزشی(بانوان - آقایان)
                            
",امیر راست کردار,44590685-44590686-44590687-44590688,,منطقه 21,"
                           تهرانسر، بلوار اصلی، خیابان 14،  پاساژ صفویه 
                        ",,
"
                            کتابهای کمک آموزشی نسیم دانش (دبستان)
                            
",سوره عاطفی,-,09126096284-09122942987,-,"
                           - 
                        ",,
"
                            مارک های  ژله ای مطابق با استانداردهای روز اروپا
                            
",حسین احمدی,33984708,9121945278,منطقه 12,"
                           فردوسی جنوبی، روبروی سرهنگ سخایی پاساژ صدا و سیما طبقه دوم، واحد66 
                        ",,
"
                            سازنده انواع قالبهای برش جعبه، کارتن، اتیکت، سراجی، مجهز به سیستم پیشرفته لیزر و خم اتوماتیک
                            
",ابراهیم صبوری,33127471-33543370-33540571,9121452353,منطقه 12,"
                           چهارراه سیروس، 15 خرداد شرقی، جنب مسجد امام حسن (ع) کوچه آل آقا  پلاک: 216 
                        ",,
"
                            کمپرسور 
                            
",امید  خضوعی,33914154,,منطقه 12,"
                           سعدی جنوبی   پلاک: 1 
                        ",,
"
                            طراحی و ساخت کابینت آشپزخانه و دکوراسیون منزل و مغازه
                            
",رضا  شجاعی,66210459,9123484254,منطقه 18,"
                           بزرگراه سعیدی - شهرک ولیعصر - خ رجائی -روبروی کوچه ابروتن  پلاک: 311 
                        ",,
"
                            تولیدی جوراب مردانه
                            
",بهنام طبیب آذر,55803684,9191950844,منطقه 12,"
                           خ خیام، بازار آل یاسین، سرای کمالی، طبقه اول، پلاک 33 
                        ",,
"
                            خدمات و نصب داربست کفراژ، نما، زیربتن، طاق نصرت ، تابلو (تخصصی و بلندمرتبه)-خرید و فروش 
                            
",پناه عظیمی,-,9121008459,منطقه 20,"
                           اتوبان آزادگان، بازار آهن مکان، فاز 9 مرکزی  پلاک: 2166 
                        ",,
"
                            دفتر اسناد رسمی 
                            
",فرشاد  نیکویی,88523964 - 88524307,,منطقه 6,"
                           خ بخارست نبش ک 16 و 5   پلاک: 37 طبقه همکف 
                        ",,
"
                            شرکت خدمات مسافرت هوایی و جهانگردی سورنا پرواز پارسمجری تور *بلیط *ویزا *هتلصدور بلیطهای سیستمی وچارتری صدور ویزا *وقت سفارت*پیکاب رزرو هتل در اقصی نقاط دنیاتورهای تفریحی و توریستی داخلی و خارجی
                            
",فریبا امیرساعی,77092373,9123086574,منطقه 4,"
                           نارمک، میدان صد- خیابان فرجام شرقی، بین خیابان 43 و 48،   پلاک: 894 طبقه اول  واحد شمالی
                        ",,دارد
"
                            انتشارات، چاپ و صحافی، تکثیرکاران ارائه دهنده خدمات چاپ صحافی تکثیر تایپ پرینت رنگی و سیاه سفید رزمه مقاله پروژه پایان نامه، جزوه، کتاب 
                            
",شهریاری,66418440,9364042205,منطقه 6,"
                           انقلاب، خ کارگر شمالی نرسیده به خ فرصت پاساژ پاساژ کتابهای نایاب طبقه دوم 
                        ",دارد,دارد
"
                            تولید پوشاک بچه گانه
                            
",محمدصادق تکلو,66955497-55894034,,منطقه 11,"
                           خ ولیعصر، چهارراه امیراکرم، خ لبافی نژاد، پاساژ امید، ط دوم، پ 202 شعبه 2:بازار تهران، بازار عباس آباد ، ک محمدمهدوی، پاساژ المهدی 2، ط همکف 
                        ",,دارد
"
                            مرکز پخش لوازم یدکی شرکتی تیبا، رنو، کیا
                            
",محمد سامنی,33981869-33981859,9126100122,منطقه 12,"
                           خیابان اکباتان کوچه آهنین، بن بست اول پاساژ آهنین طبقه 2 واحد 501
                        ",,
"
                            خدمات و فروش انواع آب سردکن و یخچال کوچک(فوت 5 و 7 و 9)، فیلتر تصفیه زیرسینکی R""O، فیلتر یخچال ساید و رومیزی
                            
",رضا احدی,66753313-66753314-66753315,,منطقه 12,"
                           جمهوری، ساختمان آلومینیوم  طبقه 8 شمالی، واحد820 
                        ",,
"
                            آلبوم عکس
                            
",مهدی مومنی,55603389,,منطقه 12,"
                           بازار  کوچه مسجد جامع پاساژ منصور طبقه همکف  پلاک: 4/1 
                        ",,
"
                            تعمیرگاه مجاز خدمات پس از فروش اکتیو، تعمیر انواع اینورتر های جوشکاری و برش پلاسما، تعمیر پیک برش و مانومتر هواگاز، تعمیر انواع برش ریلی و برش لوله، تعمیر کارواش های خانگی و صنعتی، تعمیر ابزار آلات برقی و بادی
                            
",عباس حمیدی,66733136,09122370249-09123504830,منطقه 12,"
                           خ امام خمینی، روبروی پاساژ ابزار و یراق، کوچه سلطانی پاساژ جعفری قدیم طبقه بالای اتحادیه ابزار فروشان 
                        ",,
"
                            مانتو، پالتو، بارانی، کت شلوار زنانه
                            
",جواد سلیمانی,88315698-88301104,,منطقه 7,"
                           م هفت تیر، ابتدای خ مفتح جنوبی کوچه عارف ادیب  پلاک: 2 طبقه 2 واحد 1
                        ",,
"
                            انواع پوشاک ایمنی، تولید و پخش انواع لباس کار و کفش ایمنی، بادگیر و اورکت، تهیه و توزیع ملزومات ایمنی، نظامی و صنعتی
                            
",رضا اقراری,55647861,9126456802,منطقه 11,"
                           خ هلال احمر، روبروی مجموعه ورزشی پردیس  پلاک: 64 
                        ",,
"
                            تجهیزات صنعتی
                            
",حسین جبلی,33932716,,منطقه 12,"
                           خیام - مقابل پارک شهر پاساژ خیام طبقه دوم  پلاک: 320 
                        ",,
"
                            پمپ بنزین
                            
",,22719787,,منطقه 3,"
                           خیابان ولیعصر- نرسیده به باغ فردوس 
                        ",,
"
                            کاشی و سرامیک
                            
",هادی قویدل و محمد زاهدیان,55304356,9128305394,منطقه 16,"
                           چهاراه بعثت، ابتدای خزانه بخارایی، بنگاه تهرانچی 
                        ",,
"
                            صنایع دستی - قلم زنی دکوراتیو
                            
",حمیدرضا  مهدی زاده,-,9121342773,منطقه 20,"
                           بزرگراه آزادگان - آهن مکان -فاز سوم غربی   پلاک: 443 
                        ",,
"
                            تهیه و توزیع قطعات و لوازم یدکی ایران خودرو، قطعات اصلی پراید، پژو، پیکان، سمند
                            
",روح اله کشاورز,66435125-66934643,9122374607,منطقه 6,"
                           انتهای بلوار کشاورز، خیابان دکتر غریب، بعد از چهارراه نصرت  پلاک: 41 
                        ",,
"
                            تولید و صادرات و واردات انواع جعبه و دکوری طلا و جواهر
                            
",محمد شریفی,88846810-1,,منطقه 7,"
                           م هفت تیر -ضلع شمال غربی  کوچه مازندرانی  پلاک: 4 طبقه سوم 
                        ",,
"
                            مراکز جراحی محدود
                            
",,33159453,,منطقه 15,"
                           افسریه-بین15متری اول ودوم-خیابان دهم(شهیدزالی)-پلاک162 
                        ",,
"
                            پخش و عرضه مستقیم قفل و دستگیره درب و کابینت و یراق آلات درب های چوبی و کابینت 
                            
",مقصود  مرادی,76234507,9129303386,حومه تهران,"
                           بومهن - بعد از بانک صادرات - مجتمع تجاری 110 (پاساژ صفاجو ) طبقه همکف - واحد 9 
                        ",,
"
                            لوازم برقی، (مواد خام) سیم لاکی، صنایع فلزات رنگین
                            
",مجتبی گردان,33952428-33921056,9123707580,منطقه 12,"
                           خ 15خرداد، خ پامنار،  پاساژ کرمانشاهی واحد 2
                        ",,
"
                            گل فروشی
                            
",علی رضازاده,22651726,9121159387,منطقه 1,"
                           زعفرانیه، مقدس اردبیلی، بین میدان الف و پسیان، روبروی بانک پاسارگاد  پلاک: 92 
                        ",,
"
                            مرکز پخش انواع گل های مصنوعی، گلدان های فانتزی، سفالی، چوبی و شیشه ای
                            
",علی رضا فصیحی,55962290,9038100631,منطقه 20,"
                           شهرری، بازار بزرگ، زیرزمین، فاز 2  پلاک: 113 
                        ",,
"
                            قطعات صنعتی
                            
",گازرانچی,33933731,,منطقه 12,"
                           سعدی جنوبی  پلاک: 395 
                        ",,
"
                            مرکز پخش انواع لامپ و لوازم برقی انواع اتومبیل
                            
",حسین سعیدی,33949014,,منطقه 12,"
                           خ امیرکبیر کوچه سراج الملک پاساژ احمد  پلاک: 1 
                        ",دارد,
"
                            خدمات پزشکی در محل
                            
",,26210466,,منطقه 11,"
                           ولي عصر - نرسيده به چهارراه پارک وي - خ افق - پ 50 
                        ",,
"
                            بدلیجات
                            
",امیر حسین کاظمی,-,9359046460,حومه تهران,"
                           رودهن بلوار امام  پاساژ عسگری طبقه پایین انتهای راهری  پلاک: 3/7 
                        ",,
"
                            آزمایشگاه پاتوبیولوژی وابسته به تعاونی بهداشتی و درمانی و تامین سلامت ایرانیان
                            
",محمد دکتر کاخکی,22684118,,منطقه 1,"
                           شریعتی بالاتراز متروقیطریه روبروی بانک پارسیان  کوچه نبوی  پلاک: 2 - واحد 2 
                        ",,
"
                            فروش و نصب انواع سیستم صوتی اتومبیل و دزدگیر
                            
",مهدی  شریفی,66658157,9128944283,منطقه 9,"
                           خ 30 متری جی، بین 8 متری عسگری و لشگری (پرستش )  پلاک: 544 
                        ",,
"
                            فیلتر ماشین آلات 
                            
",مهدی  بکرائی,66650086,,منطقه 17,"
                           سه راه آذری خ زرندروبروی م بوتان   پلاک: 45 
                        ",,
"
                            گسترش ارتباطات ایران (نمایندگی رسمی پاناسونیک 182) ارائه دهنده محصولات مخابراتی ارجینال پاناسونیک-فروش-نصب-برنامه ریزی و تعمیر مراکز سانترال-پردازش صدا-سیستم های تحت شبکه-فکس-تلفن های بی سیم و باسیم اداری و خانگی و تجهیزات جانبی پاناسونیک
                            
",سید عظیم حسینی,33956671-33956672-33956673-33956674-33956675,9124832205,منطقه 12,"
                           خ سعدی شمالی، خ امین زاده  پاساژ پردیس طبقه 2+  پلاک: 15 
                        ",دارد,
"
                            انواع اسانس ، تهیه و توزیع انواع مواد شیمیایی، بهداشتی)
                            
",,33927136-33937618,9121019117,منطقه 12,"
                           خ ناصر خسرو پاساژ حکیم طبقه همکف 
                        ",,دارد
"
                            خبرگزاری ها
                            
",,88907055,,منطقه 11,"
                           ولی عصر - دوراهی یوسف آباد - نبش کوچه مجلسی - پ. 873 - ک.پ : 1595633316 
                        ",,
"
                            نمایندگی شرگت نیوکالر، تولیدکننده رنگ های آکریلیک توسط سیستم کامپیوتری ترکیب رنگ
                            
",ابوالفضل صفی زاده,77341968-09124700930,9121902602,منطقه 4,"
                           تهرانپارس، وفادار شرقی، بین 214 و 216  پلاک: 136 
                        ",,
"
                            واردات و تامین کلیه تجهیزات برقی ضد انفجار، انواع گلندهای ضدانفجار خارجی و ایرانی، انواع جعبه تقسیمهای ضدانفجار
                            
",سیدمنصور سیدجوادی,33963496,9121463326,منطقه 12,"
                           خ لاله زار جنوبی  پاساژ اخوان  طبقه اول  پلاک: 35 
                        ",,
"
                            تولید کننده انواع پرچم های رومیزی، تشریفات و اهتزار، انواع کلاه تبلیغاتی (با چاپ دیجیتال )
                            
",داریوش مهاجر,66174052,9212417508,منطقه 11,"
                           خ امام خمینی بعد از حسن آباد  پاساژ تخت جمشید  طبقه منفی یک،  پلاک: 10 
                        ",,
"
                            جرثقیل
                            
",کوروش عامری,76203338,9126546229,حومه تهران,"
                           جاجرود، بالاتر از پلیس راه  پلاک: 85 
                        ",,
"
                            بیمارستان
                            
",,22403838-22401935,,منطقه 1,"
                           چمران- اوین- جنب دانشگاه علوم پزشکی شهید بهشتی-  
                        ",,
"
                            ایران MMG، انواع لوازم برقی خودروهای سنگین و سبک، تیغه برف پاکن ام ام جی MMG، شیشه شوی برقی، بوق و لامپ اتومبیل، دسته راهنما M.M.G، لوازم بادی خودروهای سنگین، لامپ اتومبیل های سبک و سنگین، آمپر، دسته راهنما، انواع رله و موتور تکی اتومبیل های سبک و سنگین (کد پستی :1141635514)
                            
",محسن مردانی,33943372-33916532-09121398526,9123728197,منطقه 12,"
                           خ امیرکبیر، خ ملت کوچه آذر طوس،نبش پاساژ آذرطوس  پلاک: 6 
                        ",دارد,دارد
"
                            ماشینهای اداری
                            
",امید کمالی,88948881,,منطقه 6,"
                           خ ولیعصر-مرکز کامپیوتر ایران  پلاک: 839 طبقه همکف 
                        ",,
"
                            نقاشی 
                            
",کاظم پور,22710495,,منطقه 1,"
                           تجریش  پاساژ قائم   پلاک: 3110 
                        ",,
"
                            خرید و فروش و معاوضه انواع خودروهای کارکرده از شما و صفر از ما
                            
",مسعود تابان رو,77802327,9121224784,منطقه 4,"
                           رسالت، بازار مبل دلاوران، خ تکاوران جنوبی  پلاک: 11 
                        ",,
"
                            فروش، طرح، اجرا و تعمیر کلیه قطعات و سیستمهای هیدرولیک و پنوماتیک
                            
",بهروز صبا,33993069-33927317-33943572,,منطقه 12,"
                           خ سعدی جنوبی، خ اکباتان، مجتمع تجاری قدس، طبقه همکف، پلاک 7 
                        ",,
"
                            سنگ تزئینی
                            
",عباس مردانیان,55165497,,منطقه 12,"
                           بازاربزرگ تهران سرای طلا فروشها  کوچه -  پاساژ اردیبهشت  پلاک: 16/1 
                        ",,
"
                            فروش، نصب ، تعمیر انواع قفل ساختمان ، اتومبیل، گاو صندوق، امکان باز کردن دربهای بسته و گاو صندوق با یک تلفن، ساخت ریموت
                            
",جواد خلیلی,55355152,9126480040,منطقه 16,"
                           نازی آباد، بازار اول، جنب بانک پارسیان  پلاک: 109 
                        ",,
"
                            خرید وفروش پرندگان زینتی
                            
",ایرج کامل,66928856,,منطقه 11,"
                           آزادی - بین جمالزاده و ولیعصر - مقابل خ کاوه   پلاک: 103 
                        ",,
"
                            مرکز کالای صنعت آب و برق و محصولات کشاورزی و صنعتی، نمایندگی انحصاری الکتروپمپ های شناور سراج و داپ، نمایندگی مجاز پمپ های شناور ناصری، نمایندگی مجاز پمپ های شناور پمپ ایران، نمایندگی انحصاری الکتروپمپ های شناور و محصولات اپک، نمایندگی انحصاری کلیه موتوربرق های هوندا، نصب و راه اندازی پمپ های چاه های عمیق و نیمه عمیق(18ماه گارانتی)
                            
",عباس محمدی,76314292,09123169602-09123803367,حومه تهران,"
                           بلوار اصلی گیلاوند، 500متر پایین تر از پمپ بنزین، روبروی استخر نگین، فروشگاه پمپ ایران 
                        ",دارد,
"
                            کافی شاپ
                            
",احمد جهانشیری,44693513,9125310370,منطقه 5,"
                           شهرک اکباتان، فاز1 ، سوپر3، پلاک 6 
                        ",,
"
                            درمان مسمومیتهای حاد و مسمومیتهای مزمن یا اعتیاد.اعتیاد مسمومیت مزمن به مواد غیر مجاز و یا به یک یا چند دارو میباشد.(متخصص پزشکی قانونی و مسمومیتها)
                            
",دکترهوشنگ   نظری,22279590,,منطقه 3,"
                           شریعتی - نبش  ظفر-ساختمان پزشکان ظفر  پلاک: 1302 طبقه زیرهمکف 
                        ",,
"
                            فروش-اجاره-دوخت لباس عروس-لباس شب
                            
",انسیه سادات سجادیان,77714356,,منطقه 4,"
                           فلکه دوم تهرانپارس پاساژ نگین شرق طبقه اول  پلاک: 18 
                        ",,
"
                            تولیدکننده کلید و پریز و قطعات هم ردیف
                            
",اردشیر صفی زاده,66758967-66758968,,منطقه 12,"
                           لاله زار نو - بالاتراز منوچهری  پاساژ سبحان طبقه اول  پلاک: 126 
                        ",,
"
                            تولید و پخش انواع فیلتر ایرانی و خارجی 
                            
",افشین تاجیک,66639028,9123867591,منطقه 17,"
                           سه راه آذری - 45 متری زرند-روبروی م بوتان- نبش کوچه حسین زاده   پلاک: 78 
                        ",,
"
                            موسسات و انجمن های خیریه
                            
",,9125211089,,منطقه 1,"
                           خیابان اقدسیه – ازگل –  12 متری قائم کوچه مدرسه  پلاک: 20 
                        ",,
"
                            تولیدکننده انواع مانکن های ویترینی و فروشگاهی(زنانه، مردانه، بچه گانه)، و تولید و پخش رگال
                            
",حسن پیرحیاتی,66966428-66966417,9121185868,منطقه 11,"
                           خ ولیعصر، بالاتر از چ امیراکرم پاساژ آریا طبقه اول-واحد1 
                        ",,
"
                            طراحی و اجرای دکوراسیون داخلی، پرده، پارچه مبلی، کاغذ دیواری، کفپوش
                            
",محمدجواد رزاق دوست,88993474,,منطقه 6,"
                           میدان فاطمی، خ جویبار   پلاک: 30 
                        ",,
"
                            تولید و پخش انواع کارت پستال و کارت دعوت، انواع کارت های مذهبی، برای همه مناسبتهای سال، مذهبی، فانتزی، یادواره شهدا و تبریک کارت رمضان، نیمه شعبان، عید غدیر، محرم، روز زن، روز پدر، جانباز- و تبریک سال نو و یادواره شهدا و بسیج و ...و انواع کتاب، پوستر، برچسب، تقویم جیبی مذهبی، سررسید، پیکسل، و کارت معرفت ائمه، دفترهای مشق مذهبی، کتابچه خطبه غدیر، کتاب عرضه، و کلبه محصولات فرهنگی مذهبی
                            
",حمید خادم,66947094-66906834,9125859614,منطقه 11,"
                           م انقلاب، خ کارگر جنوبی، نرسیده به جمهوری پاساژ مهستان طبقه بالای همکف  پلاک: 15+ 
                        ",,
"
                            طراحی وب سایت و سئو، فروش و نصب دوربین های مداربسته
                            
",محمدرضا رجبی,77500359-77615309-77529677,,منطقه 7,"
                           شریعتی، نرسیده به سه راه طالقانی کوچه حمیدصدیق  پلاک: 3 طبقه 4 واحد 402
                        ",,
"
                            عرضه نان فانتزی
                            
",حیات یوسفی,26569881,9125452023,حومه تهران,"
                           لواسان، بلوار امام، روبروی پارک آزادگان 
                        ",,
"
                            کاشی
                            
",نوید بازدیدی,44090002,9124961472,منطقه 5,"
                           فلکه دوم صادقیه، بلوار آیت اله کاشانی، روبروی نمایندگی تویوتا، بین رامین و وفاآذر  پلاک: 298 
                        ",,
"
                            شوینده و بهداشتی بصورت عمده و خرده
                            
",حمید شهراد,76282539,9126460632,حومه تهران,"
                           پردیس، فاز4، میدان فردوس، مجتمع تجاری فردوس، طبقه2، پلاک 35 
                        ",,
"
                            لوازم جانبی دوچرخه، تعمیرات و فروشگاه
                            
",امیر کریمی,44327194,9125068608,منطقه 5,"
                           شهران، شهران جنوبی، نرسیده به زیرگذر، بالاتر از فرهنگسرا  پلاک: 79 
                        ",,
"
                            گل فروشی 
                            
",حسن  طباطبایی,33258229,9123193095,منطقه 14,"
                           خ پیروزی -روبروی پمپ بنزین سلیمانیه -نبش کوچه سیفی   پلاک: 774 
                        ",,
"
                            تصفیه آب و هواSOFT WATER,WATER TEC,AQUA LIFE,ARTEC,C.C.K,C.A.T
                            
",محمدرضا شیدا,77090874-09192260645,9195669568,منطقه 4,"
                           چهارراه سرسبز، به سمت میدان رسالت  پلاک: 813 
                        ",,
"
                            مبلمان اداری
                            
",حامد شاهی,66978366,9128982962,منطقه 12,"
                           خ حافظ، نرسیده به چهارراه کالج کوچه البرز 1  پلاک: 2 واحد 2
                        ",,
"
                            کادویی، دکوری و تزئینات منزل
                            
",محمدمهدی حاج آخوندیان,22982116,,منطقه 4,"
                           میدان هروی، میدان شریفی، مجتمع تجاری نارین واحد 2
                        ",,
"
                            بیمارستان
                            
",,44554111,,منطقه 20,"
                           شهر ری- بیمارستان باب الحوائج 
                        ",,
